Target_Location,Name,Cuisine,Rating,Cost_for_Two,URL
Mathura,Funduz Cafe,"American, Cafe",3.7,₹300 for two,https://www.zomato.com/mathura/funduz-cafe-mathura-locality/info
Mathura,Hotel Aatithya Palace,"North Indian, Chinese, Street Food",3.9,₹350 for two,https://www.zomato.com/mathura/hotel-aatithya-palace-mathura-locality/info
Mathura,Shri Krishna Foods,"South Indian, North Indian, Fast Food, Chinese",3.6,₹300 for two,https://www.zomato.com/mathura/shri-krishna-foods-mathura-locality/info
Mathura,Date Soul Mate Cafe,"Fast Food, Beverages",3.3,₹300 for two,https://www.zomato.com/mathura/date-soul-mate-cafe-1-mathura-locality/info
Mathura,@4 PM,"Chinese, North Indian, Rolls, Momos, Pasta, Burger, Fast Food, Beverages",3.9,₹350 for two,https://www.zomato.com/mathura/@4-pm-mathura-locality/info
Mathura,Hariom Ji Chamcham Wale,"Mithai, Fast Food",3.8,₹250 for two,https://www.zomato.com/mathura/hariom-ji-chamcham-wale-mathura-locality/info
Mathura,Bulaki Chai Wale,N/A,3.9,₹100 for two,https://www.zomato.com/mathura/bulaki-chai-wale-mathura-locality/info
Mathura,Khao Piyo Jiyo,"Chinese, North Indian",3.6,₹200 for two,https://www.zomato.com/mathura/khao-piyo-jiyo-mathura-locality/info
Mathura,Loft Cafe & Restaurant,"Pizza, North Indian, Fast Food, Burger, Sandwich, Beverages, Shake, Salad",3.9,₹400 for two,https://www.zomato.com/mathura/loft-cafe-restaurant-mathura-locality/info
Mathura,Zaika -The Mansion,"Chinese, Cafe, Continental, North Indian, Italian, South Indian",3.4,"₹1,000 for two",https://www.zomato.com/mathura/zaika-the-mansion-mathura-locality/info
Mathura,Gup Shup Cafe And Foods,"Fast Food, North Indian",3.9,₹450 for two,https://www.zomato.com/mathura/gup-shup-cafe-and-foods-mathura-locality/info
Mathura,Rock N Roll Foods,"Chinese, North Indian, South Indian, Momos, Street Food, Beverages",3.7,₹400 for two,https://www.zomato.com/mathura/rock-n-roll-foods-1-mathura-locality/info
